项目,分类,分类2,年份函数,日期,月份函数,账户,金额
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月1日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥60.00
杂物,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月1日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥7.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月2日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥24.00
话费,水电气话费缴费 (https://app.notion.com/p/885f2801f5db8246b4d681cab4f66b4e?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月2日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥50.00
通勤打车,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月3日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥14.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月3日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥37.00
鸡蛋、醋,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月3日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥30.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月4日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥58.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月5日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥45.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月6日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥100.00
早餐,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月7日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥7.00
回家车票,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月7日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥30.00
西瓜、甲醛试剂盒,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月7日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥20.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月8日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥27.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月8日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥60.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月9日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥23.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月9日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥30.00
吃饭、大米先生充值,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月10日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥514.00
被子床笠,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月12日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥180.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月13日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥25.50
卫生纸,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月13日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥10.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月14日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥7.00
洗袜子机,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月14日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥370.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月15日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥10.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月16日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥7.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月17日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥7.00
骑行东湖,娱乐支出 (https://app.notion.com/p/504f2801f5db82d6a601019d8ba01cbe?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月17日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥50.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月20日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥80.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月19日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥23.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月21日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥7.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月22日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥5.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月23日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥26.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月24日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥7.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月25日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥5.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月26日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥69.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月26日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥5.00
水果,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月26日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥20.00
给霍重洋,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月1日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥101.00
早餐➕瑞幸,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月2日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥53.90
地铁,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月2日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥9.00
买菜,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月1日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥7.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月25日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥61.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月24日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥89.70
电费65,水电气话费缴费 (https://app.notion.com/p/885f2801f5db8246b4d681cab4f66b4e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月26日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥7.00
647玲娜贝儿,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月13日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥295.00
647生日转账,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月21日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥600.00
包,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月4日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥890.00
沐浴球,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月4日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥15.05
玻璃水杯,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月6日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥29.66
漱口杯,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月6日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥13.19
裤子,服装支出 (https://app.notion.com/p/3bef2801f5db8023a7e0c586875ace34?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月11日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥68.97
上衣➕裤子,服装支出 (https://app.notion.com/p/3bef2801f5db8023a7e0c586875ace34?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月17日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥122.30
塑料杯子,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月20日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥13.90
刷厕所,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月25日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥9.03
厕所纸盒,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月25日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥11.06
袜子,服装支出 (https://app.notion.com/p/3bef2801f5db8023a7e0c586875ace34?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月18日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥22.45
盐罐,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月16日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥5.17
抽纸,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月13日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥9.90
刷子➕垃圾袋,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月8日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥13.28
卡诗,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月8日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥245.00
文件袋,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月3日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥10.50
洗发水护发素沐浴露,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月4日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥138.84
拖鞋卷尺内衣收纳,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月12日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥55.50
不锈钢蒸笼➕沥水盆,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月9日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥32.91
外卖,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月26日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥19.00
外卖,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月25日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥50.20
外卖,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月20日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥23.70
骑车➕瑞幸,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月18日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥17.70
梨膏金银花露鼻腔喷雾,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月16日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥62.60
洗空调,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月12日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥58.00
鸡柳,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月3日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥18.88
咖啡奶茶,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月23日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥28.60
中百超市,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月19日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥121.50
地铁充值,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月19日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥50.00
奶茶,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Flora (https://app.notion.com/p/FOR-Flora-3bef2801f5db8030b86bf87a0dd7a771?pvs=21),2026年,2026年7月25日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥22.10
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月12日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥94.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月7日,2026年07月,Flora (https://app.notion.com/p/Flora-3a9f2801f5db806582c4fa78c88990e1?pvs=21),¥142.00
